Ticker,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31
CTSH,21604310300.42753,22532842841.917343,25682133908.504585,23974837186.983486,30585702325.776825,27630126034.314026,27333923634.374424,36607412294.7601,40136076038.404976,26272596294.943027,35305001068.35221,36524891943.6559
CVS,65523338499.180466,89481334340.72502,92077437668.16483,75659670501.69424,71307540856.0073,66290124261.34678,77731863686.03654,73735686891.61612,114193786937.83337,105485489000.93452,92264290397.45181,54647890783.096924
CVX,150385186940.8532,139874943608.0885,117256249287.43767,160244105816.53854,177213259480.04144,159939547299.7104,184368188070.038,136520772904.62529,199649746474.06137,316369670135.35065,273239906970.867,276756805825.0626
D,33795501377.890697,41566303083.44037,37923845548.340454,44623630148.46463,49047239955.665146,45323952784.73348,55068800261.16158,52124968246.1756,56355116583.97643,45580842748.89078,36861470379.88045,44394297962.94587
DAL,15579112919.162933,28125554729.237366,29263748561.15735,28869209538.187683,33554037558.83606,30647956697.074585,36893178520.55969,25542512889.47113,24824710667.530518,20873586488.96631,25680568543.67798,39035498389.50513
DD,8339662557.042931,8833465406.063652,10333182067.507301,11892757712.265884,15204284050.89064,11683910954.139038,10046941771.471085,11381590523.769157,13136052090.415192,11381457867.855263,13015495035.17334,13150991863.368568
DE,19848480631.221558,19740082405.93518,17517196930.209717,24338235382.521362,37682777122.66943,36591563921.56079,43286168026.965576,68373767654.33789,88105866317.92969,111530739714.40234,105418802366.14404,113383619672.13623
DECK,2051601456.622138,2211434908.627862,1146526038.1324139,1345467701.819069,1949337141.375,3108008674.919483,4101745431.555931,6966116986.313999,8897964903.401276,9695917641.68731,16236702942.453827,29599317600.23648
DG,11546966059.36766,13533990053.480438,13923481265.442719,14530138093.608215,18441107447.726074,21676962619.419342,31584573534.672546,42921159091.40918,48505217720.06964,51207316781.428345,28607106839.71216,16270576400.430542
DGX,4665243106.256432,5973994574.831787,6474042028.236084,8539439223.405563,9321250529.962173,8031001404.47139,10531095239.187134,12017078539.301407,17768234477.28412,16383162169.597198,14736588155.901428,16470640599.285187
DHI,5724139321.009327,6543888957.392036,8367539872.900425,7223905902.407822,13657195915.680367,9387402628.53389,14483823587.537254,19152443775.280396,30401369129.617645,25284211007.857193,43507068819.51108,40356107464.028595
DHR,22188232862.285942,24758807285.789944,26997042224.409157,46724550436.538506,56075604006.068344,62695049818.85615,93762806475.80952,136271553907.991,202453434064.37213,163944945023.88205,161913252340.86523,161353397883.76575
DIS,123469193818.64127,154154131893.39838,174086052632.4187,175255864129.44864,183598376489.05017,190222286817.45593,253972457290.4838,318154757233.78906,271989120722.13528,152562556258.2124,159067312939.57828,197947782692.04315
DLR,10784889835.384186,15376422210.787598,18481793176.897034,24929749882.141846,29864707153.811035,28968057823.66211,33752612613.723633,40628508800.15747,53084329192.10913,31319837404.643677,43831164410.29895,59564666065.70215
DLTR,11507865272.163727,14355256159.74559,15750397008.224182,15742238107.806046,21887788627.051636,18422375427.193954,19183176162.560455,22036685836.418137,28661562029.284637,28849212070.448364,28973632578.560455,15285350577.448364
DOC,12199862912.009182,15591676092.035872,14343826221.601244,12988670885.523417,11988723495.58949,13629831448.007555,17603802692.900284,16250879518.348051,20108315760.36318,14573362413.44478,12182967941.222214,13253905755.637362
DOV,7187567850.090157,6552530492.371868,5738897396.113152,7194791122.019852,9906006425.461235,8805790041.551765,14599756122.561928,16282777435.784843,23729633855.772583,17954050860.560028,20686048635.94052,25515681231.23712
DPZ,2064867195.6287003,2827090506.548294,3378863844.5152435,4888719744.585693,5857783497.7369995,7753962807.838684,9276051106.706665,12209843032.609009,18118651266.984375,11255206060.53241,13584183647.507568,14015884862.126648
DRI,3922014562.1791306,4421846403.259026,5552967833.208389,6562964886.352135,8925238983.668518,9540016210.428497,10712550546.934067,11832245324.68927,15319817709.664948,14578359184.883194,17905981511.633698,21076095914.810394
DTE,7914313273.919403,10668494679.86029,10274592233.745361,13044201873.693848,14947429898.328278,15576335230.198883,18907350687.924957,18367516193.735687,21922381272.43573,22193176330.1127,21568880296.04718,24478562519.20813
DUK,32644758288.799713,41246146375.143036,36803138405.660065,41748117938.002625,47156919301.22296,50654021575.50714,55865405492.076965,58530986003.1806,69717051063.25525,71129837094.28308,69972968721.00073,80860647105.98529
DVA,4473921924.591064,5347243849.182129,4921525935.36377,4532519784.545898,5100850000.0,3633075935.3637695,5297117913.818359,8288440107.727051,8031456150.817871,5271701870.727539,7396056150.817871,10558230215.454102
DVN,26220201481.24695,26313534084.32007,14045451215.171814,20350092123.413086,18571327485.466003,10197952667.427063,11912260545.73059,7702872325.515747,22792155249.023438,34385175841.14075,26879918904.87671,20103456956.863403
DXCM,3452619033.00206,5367598869.0103,7985583317.979401,5820992933.9897,5595758403.00824,11680987643.958801,21328040369.925842,36049204139.98352,52354810502.835205,44165441808.11536,48397117764.197754,30331564164.181274
EA,5583693461.87623,11444864629.957664,16726740394.974762,19170518771.823364,25572044601.792015,19207031381.521965,26168387968.44139,34999413426.45412,32307753833.22159,30096499814.49434,33909061224.544754,36450239635.33406
EBAY,9322413787.841797,9534790542.60254,11093192550.65918,11985331481.933594,15234972915.649414,11331362258.911133,14797139297.485352,20887464447.021484,27949866165.161133,17757945861.816406,19116725341.796875,27677118484.49707
