,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_SMB_vw,t_SMB_vw,beta_HML_vw,t_HML_vw,beta_MOM,t_MOM
HAS,-0.0036748383905961667,-0.5690740524142657,0.20546488501870053,131.0,0.6905917629059496,4.540381811349345,0.7169801858440924,1.6137432334039898,0.0022687597699091447,0.009360728689138178,-0.1540702177104314,-0.7981368828044654
HBAN,0.0015686446671342564,0.351144552179617,0.6619678480031362,131.0,1.1530259669427554,10.958242015749912,1.1883814175570118,3.8664638231446253,1.0927541097023326,6.517400538997027,0.18776401442971846,1.4060535610884988
HCA,0.005075476226590407,0.8023078956763087,0.4457321344236097,131.0,1.348143139987121,9.047752595197194,0.5773355722635753,1.3264452434258163,0.14391306721150074,0.6061151002788289,-0.08399040845354243,-0.4441422687658469
HD,0.0016112789007620245,0.4246516074468532,0.5740062100400937,131.0,1.020759249122644,11.421570323430227,1.064180376302478,4.076374156840476,-0.1756547819076935,-1.2334246840898833,0.1904882970565115,1.6794168125992548
HIG,0.006223414544294662,1.500367918622473,0.5539015650008555,131.0,0.8814954909896109,9.022555789386304,0.8373809560199095,2.9341942378008095,0.8989874047305997,5.7744849272346315,0.2961873361724419,2.3887113316797435
HII,0.0016854882839637004,0.27855599068635256,0.27656764513722465,131.0,0.7168759378708124,5.030037356529316,1.0882215537684268,2.6139713881161097,0.4091998397747181,1.8018259029054133,0.12885763314026025,0.7124018850413888
HLT,0.0050656042204883,1.0555334960579834,0.5319245181267271,131.0,1.1637343312849935,10.29520629400857,0.6644589627961976,2.0123599703610346,0.14205401143440186,0.7886510265474461,-0.1573641932358282,-1.0969196825985272
HOLX,0.0012100081723356128,0.20574187031667926,0.3261833198843509,131.0,0.8290125422259912,5.984610954489912,1.4562680344257375,3.5989220305853684,-0.1438902483591146,-0.6518630259548516,0.01610794103985727,0.09162258832493278
HON,-6.528061694353701e-05,-0.020528390711696046,0.6454224079229742,131.0,1.0620030629802777,14.17871477804065,0.14224650705718053,0.650143173589667,0.32404119644868845,2.714947825575939,0.07903738357315541,0.8314408437155048
HPQ,0.0011905358789386755,0.19816548458730696,0.39354248818934734,131.0,1.1649044715860413,8.232206954955075,-0.29190090079980097,-0.7061837208820625,0.29482481826223755,1.3074954043795792,-0.1738494679004243,-0.9680260317433972
