,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_TENY_innov,t_TENY_innov,beta_CREDIT_innov,t_CREDIT_innov
DXCM,0.014330602227908206,1.1610959598838582,0.12068220589125334,131.0,1.126973991222899,3.018910843036261,-6.6877925050268905,-1.1338819771874211,4.356065848135661,0.5142141165402442
ED,0.0019017321847928188,0.42635656432180286,0.14507699540789054,131.0,0.2189385177917776,1.6228504211101666,-6.904487961566233,-3.2391903043656955,-0.3611293357257657,-0.11795931799656881
FANG,0.006805350811910193,0.6813737531813137,0.354794228717382,131.0,1.1116405251727997,3.679865749865918,6.415709524000443,1.344190943521289,-20.552494653981057,-2.9980944677201173
GLW,-0.0004423963687555384,-0.08688944958179871,0.41381670868128795,131.0,1.0757219424867288,6.98535113015048,-1.112763685766394,-0.4573406730685537,-0.30283046913967787,-0.08665646093826374
KO,-0.000808871744623685,-0.22949048823486534,0.2890119692517955,131.0,0.49220735967929974,4.617063521950284,-2.160370712476634,-1.282610218738958,-2.148839775210096,-0.8882494467845475
STZ,0.0019726542985951936,0.40017263816153026,0.3137973186370394,131.0,0.7799919129111169,5.231415666666216,-1.627434559926699,-0.6908461334707706,-2.1303516107976836,-0.6296418446903597
DD,-0.008430769063368688,-1.4599401273314327,0.4708607371224002,131.0,1.36920003689755,7.839122950955822,2.2386784662332895,0.8112243234103064,-1.256571242121675,-0.3170303609184485
DHI,0.007408290550145821,1.1645768149729496,0.5113325328517526,131.0,1.1267629900027132,5.856193631516315,-13.025839607880759,-4.284866038788625,-12.048909226877747,-2.7595848491256554
DOV,-0.0013372728829738752,-0.372295140252869,0.6733462038614375,131.0,1.2872314890699093,11.848318109950128,0.05132970299810797,0.029903186547972888,-1.1910078975317486,-0.4830897877848939
DTE,0.002142684118636633,0.5651458565737075,0.28855334015807377,131.0,0.3791321630643099,3.3061743135294637,-5.279857650051445,-2.914110398500778,-5.41621307670445,-2.0813447654423185
DUK,0.0025457532681022257,0.6422904821187747,0.2311548923052532,131.0,0.06460461563721556,0.5389040469840946,-8.877301865190553,-4.686812225423708,-8.48297956215374,-3.1182396077029844
EA,0.005838963598876613,0.9517267202954635,0.2818377434735675,131.0,1.0306776201423895,5.554334902952354,-4.052407519762233,-1.382200345051124,6.7467657327826505,1.6022047382130433
EBAY,-0.00012810834279602495,-0.021134779576622353,0.43541794587217064,131.0,1.1752872493996402,6.410576034889549,-4.735993321844797,-1.6349812652253815,-4.958386740243494,-1.191808815769263
ECL,-0.0018374957177949157,-0.49995435264443266,0.5487693372694615,131.0,0.9965554937212464,8.964750916148738,-1.4370089164716082,-0.8181724859853707,-1.0103959630134896,-0.40053595442288487
EFX,0.0018098131476987592,0.34644454007485387,0.5850669317210692,131.0,1.2162641750900953,7.697693571928935,-13.340527129616245,-5.3438512715034365,-4.572271797367885,-1.2751988368506537
EG,0.0027524564524923872,0.5305853336966131,0.16265933909784736,131.0,0.5473813600645894,3.4886508802094887,3.717263873009292,1.4994761595410524,-0.8378272371731127,-0.23530716202043647
EIX,0.001453479943410333,0.2708740921362729,0.27526595318000313,131.0,0.3987085200875857,2.45666909990798,-9.012960921467283,-3.51485410671381,-9.65564235883626,-2.6217150264368376
EL,-0.004233801328241057,-0.6577319286037836,0.2757163091513235,131.0,0.795166451226812,4.084220866129664,-7.764893324872288,-2.524267252136372,-3.285429176576513,-0.7436292188792503
